,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('AKT', 1), ('Twist1', 0)]",1.0,0.288040712256588,0.576081424513176,0.0,0.0,0.7065309591447066,0.5706530959144707,0.711959287743412,0.847837150973648,0.6539632107658735,0.5781468639153888,0.2934690408552933,0.0,0.6467345204276467,0.4229405834919912,0.3739075347710669,0.0599019181084845,-24.428571428571427,0.9891433428025892
"[('AKT', 1), ('p53', 0)]",0.949776477907551,0.0,0.1094232039663145,0.0502235220924489,1.0,0.9460853168112986,1.0,1.0,0.9460853168112986,0.4309977017491968,0.2559904134794014,0.0036911610962524,0.0,0.5018455805481262,0.2162942918492338,0.128467657667325,1.0466684008286666,-29.0,0.6914176495866284
"[('AKT', 1), ('SMAD23', 0)]",1.0,0.2905992593625454,0.5811985187250908,0.0,0.8490012343957577,0.6980024687915154,0.7094007406374546,0.7094007406374546,0.8376029625498185,0.6196268561870719,0.518844385377404,0.3019975312084846,0.0,0.6509987656042423,0.4033763185130212,0.3377670544213818,0.1087317730817433,-21.285714285714285,0.9772034563081216
"[('AKT', 1), ('p38', 0)]",1.0,0.2880616673226472,0.5761233346452945,0.0,0.8532305544622545,0.7064611089245091,0.7119383326773527,0.7119383326773527,0.8477533307094108,0.6158545221907377,0.5146000939735638,0.2935388910754909,0.0,0.6467694455377455,0.3983158878492165,0.3328276174529536,0.0603427099889128,-21.285714285714285,0.9890455524943128
"[('AKT', 1), ('RAS', 0)]",1.0,0.5,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.8660254037844387,0.8333333333333335,1.0,-1.0,1.0,0.8660254037844387,0.8333333333333335,0.0,-46.0,1.0
"[('AKT', 1), ('MYC', 0)]",1.0,0.2879556001430499,0.5759112002860999,0.0,0.8534073330949167,0.7068146661898335,0.7120443998569501,0.7120443998569501,0.0,0.6735475224364273,0.5627578949956538,0.2931853338101665,0.0,0.6465926669050832,0.4355108888194809,0.3638751281471305,0.0581023377226297,-17.857142857142858,0.9895405326657668
"[('AKT', 1), ('NFKB', 0)]",1.0,0.2879509004759431,0.5759018009518863,0.0,0.853415165873428,0.7068303317468563,0.7120490995240569,0.7120490995240569,0.8481963980962274,0.6156900458548923,0.514415191188621,0.2931696682531437,0.0,0.6465848341265719,0.3980958461724669,0.3326130610668832,0.058002530723137,-21.285714285714285,0.9895624644455988
"[('AKT', 1), ('ERK', 0)]",1.0,0.5,1.0,0.0,0.5,0.2703521232902521,0.5,0.5,0.2703521232902521,0.8456671071786374,0.8137435532906641,0.7296478767097478,-1.0,0.8648239383548739,0.7313531581674024,0.7037449045677213,1.3755703729180868,-25.0,0.2928331888918196
"[('AKT', 1), ('RAF', 0)]",1.0,0.3351162320360192,0.7284397869161153,0.0,0.800663874505923,0.6595350718559229,0.6648837679639806,0.6648837679639806,0.7953151783978653,0.6628643626907693,0.5788898412161997,0.3404649281440771,0.0,0.6702324640720385,0.4442732151517757,0.3879907647046046,0.5202567095989091,-19.33333333333333,0.8146806392516538
"[('AKT', 1), ('ZEB1', 0)]",1.0,0.2880940478375126,1.0,0.0,0.853176586937479,0.0,0.7119059521624874,0.7119059521624874,0.7063531738749579,0.7213987133516058,0.6353270527340116,1.0,-1.0,1.0,0.7213987133516058,0.6353270527340116,0.0610221043428426,-24.714285714285715,0.988894443424941
