,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
"[('MYC', 1)]",1.0,0.7114823578335217,1.0,0.0,0.7049411927784055,0.8524705963892028,0.7049411927784055,0.28851764216647835,0.5770352843329567,0.7927603509814507,0.7265179781868162,0.2950588072215945,0.0,0.6475294036107972,0.513335637277305,0.47044175312783126,-21.571428571428573,0.06972781120825787,0.9869176698897677
"[('NFKB', 0)]",1.0,0.7114581268676002,0.8458325074704006,0.0,0.7048604228920006,0.8524302114460003,0.7048604228920006,0.2885418731323998,0.5770837462647996,0.7813065004237558,0.7072400178152926,0.29513957710799943,0.0,0.6475697885539997,0.5059504852752771,0.457987268793576,-21.571428571428573,0.07021618959515402,0.9868045920488008
"[('NFKB', 1)]",1.0,0.7114455081690931,0.8457820326763728,0.0,0.704818360563644,0.8524091802818219,0.704818360563644,0.28855449183090676,0.5771089836618135,0.7813011580643642,0.7072405309720308,0.295181639436356,0.0,0.647590819718178,0.5059634573976634,0.45800247519009685,-15.571428571428571,0.0704701317910537,0.9867457047891016
"[('NOTCH', 0)]",1.0,0.7113495156810199,0.8453980627240792,0.0,0.7044983856033995,0.8522491928016996,0.7044983856033995,0.28865048431898016,0.5773009686379603,0.7812604815485186,0.7072444106565828,0.2955016143966005,0.0,0.6477508071983002,0.5060621075551857,0.4581181378892877,-21.571428571428573,0.07239331340459843,0.9862977398447592
"[('NOTCH', 1)]",0.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4899789435061114,0.3086066999241838,-1.0,1.0,0.0,0.0,0.0,-33.8,0.0,1.0
"[('PI3K', 0)]",1.0,0.7110022052029183,0.8440088208116734,0.0,0.7033406840097278,0.8516703420048639,0.7033406840097278,0.28899779479708165,0.5779955895941633,0.7811127726930792,0.7072580929191484,0.2966593159902722,0.0,0.6483296579951361,0.5064185767757365,0.45853639749656366,-21.857142857142858,0.07923080299727524,0.984676957613619
"[('PI3K', 1)]",1.0,0.7116707071313728,0.8466828285254914,0.0,0.7116707071313728,0.8527845118856213,0.7055690237712429,0.28832929286862713,0.5766585857372543,0.7806229192325617,0.7065312560786622,0.29443097622875714,0.0,0.6472154881143786,0.5052312437043736,0.45727797177101637,-21.857142857142858,0.06589716433901378,0.98779663327974
"[('RAF', 0)]",1.0,0.6629629836944657,0.7884376055363065,0.0,0.651851934777863,0.7995486544529092,0.651851934777863,0.33703701630553423,0.7268286584831132,0.7578266553176671,0.6912520208692531,0.34814806522213704,0.0,0.6740740326110686,0.5108312695701381,0.46595503725788795,-19.666666666666668,0.539469427039169,0.8195140245506602
"[('RAF', 1)]",0.7984380351357876,0.005645419378021324,0.9887091612439574,0.20156196486421238,0.9887091612439574,0.9943545806219787,0.9887091612439574,0.005645419378021324,0.7984380351357876,0.6077219288159955,0.45229833483140564,-0.19027112610816976,0.0,0.4048644369459151,0.24604499652977352,0.18311951066309204,-23.0,0.8620747651115579,0.6499559258656216
"[('RAS', 0)]",1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.45226701686664544,0.5222329678670936,1.0,-1.0,1.0,0.45226701686664544,0.5222329678670936,-59.0,0.0,1.0
