,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('Snail', 0)]",-0.020833333333333332,-0.09375,-0.022727272727272728,,0.0,-0.01381578947368421,-0.15625,0.0,0.0,0.0,0.0,0.0,,-0.3125,0.0,0.0,0.0,0.0,0.0,0.0234375,0.03125,0.0,-0.05555555555555555,0.0,,0.1875,0.046875,-0.006944444444444444,0.0625,-0.08333333333333333,0.0,-0.0375
"[('ZEB1', 0)]",-0.020833333333333332,-0.09375,0.002840909090909091,,0.03125,-0.021710526315789475,-0.15625,0.0,0.0,0.0,0.0,0.0,,-0.3125,0.0,0.0,0.0,0.0,0.0,0.046875,-0.052083333333333336,0.0,-0.06944444444444445,0.0,,0.1875,-0.15625,0.0,0.4375,-0.14583333333333334,0.0,-0.04375
"[('EpCAM', 0)]",0.0,0.0,0.028409090909090908,,0.0625,0.009210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,0.0,0.0,0.0,0.0,,0.0,0.03125,0.003472222222222222,0.0,0.010416666666666666,0.0,0.015625
"[('TGFb', 0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('SMAD23', 0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('bcatenin', 1)]",0.020833333333333332,-0.015625,0.048295454545454544,,0.0,0.01644736842105263,0.21875,0.0,0.0,0.0,0.0,-0.0625,,0.0625,0.0,0.0,0.0,-0.125,0.0,0.0234375,0.020833333333333332,0.0,0.013888888888888888,0.0,,0.0,-0.0078125,0.1111111111111111,-0.0625,-0.010416666666666666,0.0,-0.025
"[('NOTCH', 1)]",-0.0625,0.03125,-0.002840909090909091,,0.03125,0.05394736842105263,0.15625,0.25,0.0,1.0,0.0,-0.1875,,0.1875,-0.20833333333333334,-0.125,0.0,-0.125,-0.5,0.1015625,0.052083333333333336,0.0,0.2152777777777778,0.375,,0.1875,-0.125,0.0,0.0625,0.10416666666666667,0.25,0.0125
"[('GLI', 1)]",0.041666666666666664,0.03125,-0.011363636363636364,,0.0,0.0125,-0.03125,0.0,0.0,0.0,0.0,0.0,,0.0625,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.11805555555555555,0.0,,0.0,0.0,0.006944444444444444,0.0,-0.020833333333333332,0.0,0.0
"[('Ecadherin', 1)]",0.0,0.0,0.0,,0.0,0.007894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,,0.25,0.015625,0.0,0.0,0.0,0.0,0.0
"[('TAK1', 1)]",-0.20833333333333334,-0.015625,0.011363636363636364,,0.0,0.00625,0.015625,0.0,0.0,0.0,0.0,0.0,,0.15625,0.16666666666666666,0.0,0.0,-0.25,0.0,-0.04296875,0.0,0.25,0.11458333333333333,0.0,,0.0625,0.0,0.003472222222222222,0.0,-0.010416666666666666,0.125,0.0
