,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('AP1', 1), ('IKK', 1), ('TAK1', 0)]",0.2966977451205925,0.2890093235361777,0.2966977451205925,0.7033022548794076,0.9923115784155851,0.7033022548794076,1.0,0.9846231568311704,0.9846231568311704,0.4138402429570552,0.2240045978103145,-0.406604509758815,0.0,0.2966977451205925,0.1227854669255164,0.0664616590669655,0.0794546774720403,-20.142857142857142,0.9846231568311704
"[('AP1', 1), ('ERK', 1), ('TAK1', 0)]",0.8030864397447939,0.0,0.8030864397447939,0.1969135602552061,1.0,1.0,0.0,1.0,1.0,0.3478987394774112,0.4017188617760297,-0.1969135602552061,0.0,0.4015432198723969,0.1396963800393078,0.1613074852410213,0.7951939474621239,-25.0,0.668024743336464
"[('AP1', 1), ('MEK', 1), ('TAK1', 0)]",0.7379145693776886,0.0058440247763943,0.7379145693776886,0.2620854306223114,0.9941559752236058,0.9883119504472112,0.0116880495527886,0.9883119504472112,0.9883119504472112,0.3313993808119338,0.3796720337104986,-0.2503973810695227,0.0,0.3748013094652386,0.124208921884282,0.1423015754020251,0.9376650190696854,-23.0,0.5320238680947155
"[('ERK', 1), ('IKK', 1), ('TAK1', 0)]",0.8067120178489908,0.0,0.8067120178489908,0.1932879821510091,1.0,1.0,0.0,1.0,1.0,0.3491334517137703,0.4031445846600971,-0.1932879821510091,0.0,0.4033560089244954,0.1408250756652994,0.1626107906880201,0.7889563500441575,-21.0,0.6762298507654619
"[('IKK', 1), ('MEK', 1), ('TAK1', 0)]",0.7807189074400444,0.005467781811841,0.7807189074400444,0.2192810925599556,0.9945322181881588,0.989064436376318,0.005467781811841,0.989064436376318,0.989064436376318,0.3450634914538729,0.3970594440235258,-0.2083455289362735,0.0,0.3958272355318632,0.1365855279051592,0.1571669420696508,0.8915261645571965,-19.0,0.6191235357492044
"[('ERK', 1), ('MEK', 1), ('TAK1', 0)]",0.8077563109977448,0.0,0.8077563109977448,0.1922436890022552,1.0,1.0,0.0,1.0,1.0,0.3494882330840388,0.403554250899353,-0.1922436890022552,0.0,0.4038781554988724,0.1411506629465415,0.1629867464969598,0.7867815281202719,-23.0,0.6779383324445358
"[('AKT', 1), ('NOTCH', 1), ('PI3K', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-29.8,1.0
"[('NOTCH', 1), ('PI3K', 0), ('SMAD4', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-29.8,1.0
"[('GLI', 1), ('NOTCH', 1), ('PI3K', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-35.8,1.0
"[('NOTCH', 1), ('PI3K', 0), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0880450906325624,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-33.8,1.0
"[('NOTCH', 1), ('PI3K', 0), ('RAF', 1)]",0.7544508303742481,0.0,0.7544508303742481,0.2455491696257519,1.0,1.0,0.0,1.0,1.0,0.3308903687544496,0.3820792869452721,-0.2455491696257519,0.0,0.377225415187124,0.1248202567348178,0.1441300176523305,0.8720109355410055,-15.0,0.5806762577637857
"[('NFKB', 1), ('NOTCH', 1), ('PI3K', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-29.8,1.0
"[('GRB2SOS', 1), ('NOTCH', 1), ('PI3K', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-27.8,1.0
"[('NOTCH', 1), ('PI3K', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.6,0.0,0.2,0.0,0.0,0.8677218312746247,0.9393364366277244,1.0,-1.0,1.0,0.8677218312746247,0.9393364366277244,0.0,-21.8,1.0
