,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
"[('TGFb', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('THY1', 0)]",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.2886751345948129,-1.0,1.0,0.0,0.0,0.0,-67.0,0.0,1.0
"[('THY1', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('Twist1', 0)]",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.2886751345948129,-1.0,1.0,0.0,0.0,0.0,-65.0,0.0,1.0
"[('Twist1', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('ZEB1', 0)]",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4472135954999579,0.5163977794943223,0.0,0.0,0.5,0.22360679774997896,0.25819888974716115,-65.0,0.0,1.0
"[('ZEB1', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('bcatenin', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-55.0,0.0,1.0
"[('bcatenin', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('miR200', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('miR200', 1)]",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4082482904638631,0.4714045207910318,0.0,0.0,0.5,0.20412414523193154,0.2357022603955159,-63.0,0.0,1.0
"[('miR34', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('miR34', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4082482904638631,0.2357022603955159,-1.0,1.0,0.0,0.0,0.0,-63.0,0.0,1.0
"[('p38', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-69.0,0.0,1.0
"[('p38', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('p53', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('p53', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.26333447882942357,0.7366655211705764,0.7366655211705764,0.06459635906977493,0.0,-0.26333447882942357,0.0,0.3683327605852882,0.02379295525992872,0.0,-51.0,0.907472250726276,0.5635780474717695
