,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('AKT', 0), ('PI3K', 1)]",0.75,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.005263157894736842,0.0,0.0,0.25,0.5,0.5,0.0,-0.08333333333333333,0.5,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('THY1', 0), ('miR200', 1)]",-0.25,0.0,0.2,0.16666666666666666,-0.08333333333333333,0.015789473684210527,0.0,0.0,0.0,0.0,0.5,0.0,-0.25,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,0.75,-0.3333333333333333,0.375,0.0,0.375,0.0,0.0,-1.0
"[('PI3K', 0), ('ZEB1', 1)]",0.0,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.04736842105263158,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('AP1', 0), ('RAS', 1)]",-0.25,1.0,0.2,-0.16666666666666666,-0.08333333333333333,-0.04736842105263158,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('GLI', 1), ('p53', 1)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('AKT', 0), ('GSK3b', 1)]",0.75,0.0,0.4,-0.16666666666666666,-0.08333333333333333,0.08947368421052632,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.08333333333333333,0.5,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.25,-0.3333333333333333,-0.125,0.6666666666666666,-0.375,-0.2,0.0,-1.0
"[('SMAD23', 0), ('miR34', 1)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,0.005263157894736842,0.0,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,0.4,0.0,-1.0
"[('PI3K', 0), ('bcatenin', 0)]",0.0,0.0,0.4,-0.16666666666666666,-0.08333333333333333,0.05789473684210526,0.3333333333333333,0.0,0.25,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.125,1.0,-0.375,-0.2,0.0,-1.0
"[('IKK', 1), ('MDM2', 1)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.08947368421052632,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('AP1', 1), ('GLI', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.03684210526315789,1.0,0.0,0.25,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('GSK3b', 1), ('p53', 0)]",-0.25,0.0,0.4,-0.16666666666666666,-0.08333333333333333,0.02631578947368421,0.3333333333333333,0.0,0.75,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.125,0.6666666666666666,-0.375,-0.2,0.0,-1.0
"[('MDM2', 0), ('TGFb', 0)]",-0.125,0.3125,0.375,0.0,-0.020833333333333332,0.05263157894736842,0.3333333333333333,0.0,0.375,0.0,0.75,-0.25,-0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.10714285714285714,0.0,0.0,0.0,-0.125,0.0,-0.15625,0.3333333333333333,-0.375,-0.275,0.5,-1.0
"[('Snail', 0), ('bcatenin', 1)]",-0.25,0.0,0.2,0.5,0.08333333333333333,0.07894736842105263,0.0,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,-0.125,0.2,0.0,-1.0
"[('AP1', 0), ('NOTCH', 1)]",-0.25,1.0,0.2,-0.16666666666666666,-0.08333333333333333,-0.04736842105263158,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('NOTCH', 1), ('Twist1', 0)]",-0.25,0.25,0.2,0.16666666666666666,0.08333333333333333,-0.03684210526315789,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,0.6666666666666666,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('THY1', 0), ('bcatenin', 0)]",-0.25,0.0,0.4,-0.16666666666666666,-0.08333333333333333,0.03684210526315789,0.3333333333333333,0.0,0.25,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.5,-0.3333333333333333,-0.125,1.0,-0.375,-0.2,0.0,-1.0
"[('TGFb', 1), ('THY1', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.04736842105263158,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,0.75,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('ERK', 1), ('GLI', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.03684210526315789,1.0,0.0,0.25,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('GLI', 0), ('SMAD23', 1)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.03684210526315789,1.0,0.0,0.25,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('GRB2SOS', 0), ('NOTCH', 0)]",0.0,0.0,0.2,-0.16666666666666666,0.08333333333333333,0.005263157894736842,0.0,1.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.5,0.8333333333333334,0.0,0.0,1.0,0.5,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('PI3K', 0), ('SMAD23', 1)]",0.0,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.04736842105263158,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('RAF', 1), ('TAK1', 0)]",-0.25,0.25,0.2,-0.16666666666666666,0.08333333333333333,-0.03684210526315789,0.0,0.0,0.0,0.5,0.5,0.0,-0.08333333333333333,0.5,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,1.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.5,-1.0
"[('PI3K', 1), ('Snail', 0)]",-0.25,0.0,0.2,0.5,0.08333333333333333,0.07894736842105263,0.0,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,-0.125,0.2,0.0,-1.0
"[('GSK3b', 0), ('Snail', 0)]",-0.25,0.0,0.2,0.5,0.08333333333333333,0.07894736842105263,0.0,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,-0.125,0.2,0.0,-1.0
"[('MEK', 1), ('TGFBR', 0)]",0.125,0.3125,0.375,0.125,-0.052083333333333336,0.1569078947368421,0.4166666666666667,0.0,0.375,0.40625,0.25,0.0625,-0.052083333333333336,0.25,0.08333333333333333,0.0,0.0,1.0,0.25,0.4166666666666667,0.29017857142857145,0.0,1.0,0.0,0.09375,0.041666666666666664,-0.03125,0.3333333333333333,-0.0625,-0.0625,0.5,-1.0
