,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('ERK', 0), ('GRB2SOS', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5384868958258986,0.2173919590525135,0.0,-1.0,1.0,0.0,0.0,0.0,1.0366860648141376,-52.0,0.4958174306987885
"[('GRB2SOS', 1), ('MEK', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6419900772423198,0.2149240627073113,0.0,-1.0,1.0,0.0,0.0,0.0,1.0111158261844089,-63.0,0.4333917255487496
"[('GSK3b', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7323843438681404,0.7323843438681404,1.0,1.0,0.2676156561318595,0.0,1.0,0.0,0.3597564999059276,0.4154110241268098,-0.2676156561318595,0.0,0.3661921719340702,0.1317400140679507,0.1521202651703529,0.9119014901829948,-51.0,0.5554817150774594
"[('TAK1', 1), ('bcatenin', 0), ('p53', 1)]",0.0,0.770417863089853,0.770417863089853,1.0,1.0,0.2295821369101469,0.0,1.0,0.0,0.3741570200965723,0.4320393125438885,-0.2295821369101469,0.0,0.3852089315449265,0.1441286259414342,0.1664254019704358,0.8635598842216965,-35.0,0.6308723072283627
"[('MDM2', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7369674820282723,0.7369674820282723,1.0,1.0,0.2630325179717277,0.0,1.0,0.0,0.3615267456229705,0.4174551278093428,-0.2630325179717277,0.0,0.3684837410141361,0.1332167277038181,0.153825427200721,0.9062457707599004,-49.0,0.5631060935012303
"[('SMAD23', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7519046772621683,0.7519046772621683,1.0,1.0,0.2480953227378318,0.0,1.0,0.0,0.3672298965265,0.4240405592281064,-0.2480953227378318,0.0,0.3759523386310841,0.1380609384143887,0.1594190399162393,0.8838111521003491,-45.0,0.5850592396001251
"[('AP1', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7419590501496667,0.7419590501496667,1.0,1.0,0.2580409498503332,0.0,1.0,0.0,0.3634438796312245,0.4196688434808188,-0.2580409498503332,0.0,0.3709795250748333,0.1348302378569465,0.1556885482432187,0.8999100121977863,-43.0,0.5715200062064819
"[('IKK', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7350153268769801,0.7350153268769801,1.0,1.0,0.2649846731230199,0.0,1.0,0.0,0.360773889205135,0.4165858040983458,-0.2649846731230199,0.0,0.36750766343849,0.1325871690513958,0.1530984754858276,0.9093585563156472,-45.0,0.5606231002062863
"[('ERK', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7668352208343432,0.7668352208343432,1.0,1.0,0.2331647791656568,1.0,1.0,0.0,0.5539251531556365,0.3871706052443103,-0.2331647791656568,0.0,0.3834176104171716,0.2123846585728999,0.1484480282865435,1.9609469776428807,-26.0,0.3174473213642407
"[('MEK', 0), ('TAK1', 1), ('p53', 1)]",0.0,0.7440018597896909,0.7440018597896909,1.0,1.0,0.2559981402103091,1.0,1.0,0.0,0.5469732074402296,0.3777360316764504,-0.2559981402103091,0.0,0.3720009298948454,0.2034745417953316,0.1405181550384283,1.948015887459408,-24.0,0.2610966390033565
